Cluster_Name,RA_J2000,Dec_J2000,z,m200,DECam,S-PLUS,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_SPT,m500_MCXC,m500_MCXC_corr,m500_CODEX,m500,c200,r200,d200,5d200
A0133,15.674,-21.882,0.057,9.75,DR10,YES,3.02,4.07,5.46,-1.0,2.48,3.75,6.77,6.77,4.04,2.05,29.96,2.5
A0957,153.408,-0.916,0.045,3.42,DR10,YES,-1.0,-1.0,-1.0,-1.0,1.14,1.72,2.38,2.38,4.15,1.45,26.48,2.21
A1069,159.929,-8.683,0.062,3.7,DR10,YES,1.8,2.43,-1.0,-1.0,1.46,2.21,2.57,2.57,4.12,1.48,20.02,1.67
A3809,326.745,-43.883,0.063,5.57,DR10,YES,1.67,2.25,-1.0,-1.0,1.73,2.61,3.87,3.87,4.05,1.7,22.61,1.88
A0496,68.41,-13.259,0.0337,15.74,DR10,NO,2.71,3.66,-1.0,-1.0,2.91,4.41,10.96,10.96,4.1,2.43,58.25,4.85
A0119,14.067,-1.255,0.044,5.25,DR10,YES,3.43,4.63,-1.0,-1.0,2.47,3.75,3.64,3.64,4.06,1.68,31.22,2.6
A2399,329.342,-7.811,0.058,3.28,DR10,YES,-1.0,-1.0,-1.0,-1.0,1.2,1.82,2.28,2.28,4.15,1.43,20.49,1.71
A2415,331.414,-5.594,0.058,6.19,DR10,YES,1.78,2.41,-1.0,-1.0,2.09,3.17,4.29,4.29,4.04,1.76,25.32,2.11
A2734,2.836,-28.855,0.061,6.16,DR10,YES,2.61,3.52,-1.0,-1.0,2.06,3.12,4.28,4.28,4.04,1.76,24.11,2.01
A2717,0.804,-35.933,0.05,4.27,DR10,YES,-1.0,-1.0,-1.0,-1.0,1.2,1.82,2.97,2.97,4.09,1.56,25.79,2.15
A3497,180.016,-31.383,0.068,4.33,DR10,NO,2.25,3.04,-1.0,-1.0,1.56,2.37,3.01,3.01,4.08,1.56,19.34,1.61
A4059,359.25,-34.759,0.048,12.62,DR10,YES,2.47,3.33,4.26,-1.0,2.67,4.03,8.76,8.76,4.06,2.25,38.47,3.21
A3301,75.194,-38.678,0.054,4.39,DR10,YES,1.75,2.37,-1.0,-1.0,1.27,1.92,3.05,3.05,4.09,1.58,24.18,2.01
A3571,206.868,-32.849,0.039,9.02,DR10,NO,4.63,6.24,-1.0,-1.0,4.51,6.82,-1.0,6.24,4.03,2.01,42.01,3.5
A3651,298.068,-55.062,0.06,4.69,DR10,NO,3.24,4.38,-1.0,-1.0,1.47,2.23,3.26,3.26,4.07,1.61,22.36,1.86
A4038,356.929,-28.142,0.028,7.95,DR10,YES,1.48,2.0,-1.0,-1.0,2.04,3.09,5.5,5.5,4.03,1.94,55.56,4.63
A2877,17.501,-45.923,0.024,3.16,DR10,YES,1.14,1.54,-1.0,-1.0,0.71,1.08,2.21,2.21,4.18,1.43,47.5,3.96
MKW4,181.115,1.895,0.02,1.45,DR10,YES,-1.0,-1.0,-1.0,-1.0,0.68,1.02,-1.0,1.02,4.49,1.1,43.79,3.65
A3526,192.199,-41.308,0.011,2.55,DR10,NO,1.32,1.79,-1.0,-1.0,1.62,2.45,-1.0,1.79,4.26,1.33,95.34,7.95
A3581,211.867,-27.015,0.023,7.31,DR10,NO,-1.0,-1.0,-1.0,-1.0,1.08,1.64,5.06,5.06,4.03,1.89,65.47,5.46
MKW8,220.176,3.472,0.027,2.21,DR10,YES,1.1,1.49,-1.0,-1.0,0.74,1.11,1.55,1.55,4.3,1.27,37.57,3.13
A0147,17.048,2.176,0.044,2.28,DR10,NO,-1.0,-1.0,-1.0,-1.0,0.73,1.1,1.6,1.6,4.28,1.27,23.64,1.97
A0168,18.76,0.315,0.044,2.78,DR10,YES,-1.0,-1.0,-1.0,-1.0,1.25,1.89,1.94,1.94,4.21,1.36,25.26,2.1
A0194,21.46,-1.402,0.017,0.84,DR10,YES,-1.0,-1.0,-1.0,-1.0,0.4,0.6,-1.0,0.6,4.76,0.92,42.86,3.57
A0548,87.121,-25.483,0.041,2.91,DR10,NO,1.53,2.07,-1.0,-1.0,1.38,2.09,2.03,2.03,4.2,1.38,27.46,2.29
A2870,16.933,-46.9,0.023,6.57,DR10,YES,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.56,4.56,4.03,1.82,63.2,5.27
A3341,81.392,-31.595,0.0374,3.99,DR10,NO,-1.0,-1.0,-1.0,-1.0,1.09,1.65,2.78,2.78,4.11,1.53,33.32,2.78
A3389,95.455,-64.981,0.026,1.98,DR10,YES,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.39,1.39,4.35,1.22,37.56,3.13
A3574,207.278,-30.326,0.016,0.64,DR10,NO,-1.0,-1.0,-1.0,-1.0,0.3,0.46,-1.0,0.46,4.91,0.84,41.45,3.45
AS560,90.201,-58.587,0.037,2.14,DR10,NO,-1.0,-1.0,5.67,-1.0,0.43,0.65,1.51,1.51,4.3,1.25,27.37,2.28
IIZw108,318.483,2.565,0.048,4.44,DR10,NO,1.8,2.42,-1.0,-1.0,1.64,2.48,3.08,3.08,4.09,1.59,27.17,2.26
MKW8,220.176,3.472,0.027,2.21,DR10,YES,1.1,1.49,-1.0,-1.0,0.74,1.11,1.55,1.55,4.3,1.27,37.57,3.13
AM2002,42.39,-31.19,0.022,2.6,DR10,YES,-1.0,-1.0,-1.0,-1.0,0.45,0.68,1.82,1.82,4.25,1.34,48.48,4.04
